train/value_loss,train/learning_rate,train/explained_variance,time/total_timesteps,train/policy_loss,time/iterations,time/time_elapsed,train/n_updates,time/fps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1.2231282826846712e-11,0.0007,0.0010437369346618652,72000,-9.403594845025509e-07,400,2,14399,919,-0.5879487991333008,,
2.0822793089791958e-07,0.0007,0.0,72500,-8.087929018074647e-05,500,2,14499,913,-0.49639803171157837,,
1.8284751490682538e-10,0.0007,4.410743713378906e-06,73000,-8.549710400984623e-06,600,3,14599,916,-0.7262047529220581,,
2.048118119546416e-08,0.0007,5.960464477539062e-07,73500,-1.6062329450505786e-05,700,3,14699,915,-0.3748001456260681,,
1.5092022294993512e-05,0.0007,0.0,74000,-0.00026583197177387774,800,4,14799,911,-0.264766663312912,,
2.1934454252914293e-11,0.0007,3.62396240234375e-05,74500,-3.7695467653975356e-06,900,4,14899,909,-0.49663978815078735,,
2.400905074750881e-08,0.0007,1.1920928955078125e-07,75000,-1.018469629343599e-05,,,14999,,-0.25761091709136963,300.0,-2.9999999329447746
,,,75000,,1000,5,,837,,,
1.2699650824288256e-06,0.0007,-1.1920928955078125e-07,75500,-8.595526742283255e-05,1100,6,15099,834,-0.2844894230365753,,
1.3649526387632394e-12,0.0007,0.009411752223968506,76000,-8.0855841133598e-08,1200,7,15199,840,-0.27088871598243713,,
3.2333502542059023e-09,0.0007,3.933906555175781e-06,76500,1.3168042869438068e-06,1300,7,15299,845,-0.12215594947338104,,
9.928658073476981e-08,0.0007,0.0,77000,-6.020060027367435e-06,1400,8,15399,849,-0.1054261326789856,,
6.439648727457614e-12,0.0007,0.0004956722259521484,77500,-3.5738093373538504e-08,1500,8,15499,850,-0.08217334002256393,,
4.5905226286890866e-09,0.0007,1.6093254089355469e-06,78000,-6.950586976017803e-05,1600,9,15599,854,-0.13114050030708313,,
1.1283075309620472e-06,0.0007,0.0,78500,-0.0005181442247703671,1700,9,15699,858,-0.2582830786705017,,
1.0237428960113704e-10,0.0007,0.0001239180564880371,79000,-5.296378162711335e-07,1800,10,15799,854,-0.22493597865104675,,
2.8989029488002416e-07,0.0007,0.0,79500,-9.902332749334164e-06,1900,11,15899,858,-0.10054202377796173,,
3.6562255445460323e-06,0.0007,0.0,80000,-0.00021716507035307586,,,15999,,-0.38275817036628723,300.0,-2.9999999329447746
,,,80000,,2000,12,,827,,,
1.1691814627567965e-08,0.0007,0.0,80500,-6.367168680299073e-05,100,0,16099,919,-0.7100982069969177,,
3.52662254954339e-07,0.0007,0.0,81000,-2.292688805027865e-05,200,1,16199,902,-0.1778283715248108,,
0.0,0.0007,nan,81500,-0.0,300,1,16299,906,-0.3772215247154236,,
4.931538200025898e-08,0.0007,-1350.0557861328125,82000,-0.00017166210454888642,400,2,16399,899,-0.4535302519798279,,
2.1258975024807114e-08,0.0007,2.384185791015625e-07,82500,-2.9047400857962202e-06,500,2,16499,895,-0.10823752731084824,,
1.1368683941568192e-14,0.0007,nan,83000,-0.0,600,3,16599,890,-0.059360940009355545,,
5.658321589052662e-10,0.0007,2.2590160369873047e-05,83500,-4.4895674022882304e-07,700,3,16699,894,-0.10400407016277313,,
5.958838755759643e-07,0.0007,0.0,84000,-1.6542835510335863e-05,800,4,16799,901,-0.11413277685642242,,
5.8250292610251275e-12,0.0007,0.009261906147003174,84500,-7.650334623576782e-07,900,5,16899,893,-0.6465312838554382,,
1.4705437756390438e-08,0.0007,0.0,85000,-7.089975952112582e-06,,,16999,,-0.24498799443244934,300.0,-2.9999999329447746
,,,85000,,1000,6,,826,,,
1.0554541631790926e-06,0.0007,0.0,85500,-6.910809315741062e-05,1100,6,17099,823,-0.27454376220703125,,
9.072707168877869e-11,0.0007,0.0001348257064819336,86000,-4.899974555883091e-06,1200,7,17199,824,-0.6772103309631348,,
4.7116081702824886e-08,0.0007,4.172325134277344e-07,86500,-4.549623554339632e-06,1300,7,17299,828,-0.11403697729110718,,
7.041494427539874e-06,0.0007,-1.1920928955078125e-07,87000,-0.00011343126971041784,1400,8,17399,834,-0.19927190244197845,,
