time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/n_updates,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
606208,1,1,1428,,,,,,,,,,,,
608256,2,3,1252,2960,10.266147498786449,0.2,2.522430181503296,0.20068359375,0.0003,0.9562511444091797,-0.6616324869915843,-0.006290568097756477,0.020187782,,
610000,,,,2970,7.327389124408365,0.2,1.2886549234390259,0.127978515625,0.0003,0.9567331075668335,-0.5526057138107717,0.0027801830889075062,0.058276765,191.0,40.7066364955157
610304,3,5,1069,,,,,,,,,,,,
612352,4,7,1064,2980,7.505361249297858,0.2,2.7438220977783203,0.2478515625,0.0003,0.9719803333282471,-0.674354843236506,0.027427015215653227,0.09076255,,
614400,5,9,1040,2990,6.072691542096436,0.2,1.4209034442901611,0.1787109375,0.0003,0.9751105308532715,-0.600120579637587,-0.001349648743052967,0.049193412,,
615000,,,,3000,3.5106447229161857,0.2,0.9383818507194519,0.1751953125,0.0003,0.9575937390327454,-0.6346208739094437,-0.0004983002247172408,0.021301512,300.0,39.15524489283562
616448,1,1,1341,,,,,,,,,,,,
618496,2,3,1151,3010,4.9767338439822195,0.2,3.2093753814697266,0.158935546875,0.0003,0.97181636095047,-0.6236892065033317,0.0017024042361299507,0.044660714,,
620000,,,,3020,2.393384901620448,0.2,1.8716226816177368,0.164013671875,0.0003,0.9762129783630371,-0.6360182290896773,0.00441090995882405,0.03890949,191.6,34.30834552049637
620544,3,5,1028,,,,,,,,,,,,
622592,4,7,1025,3030,3.6213160080835225,0.2,0.5302132368087769,0.218701171875,0.0003,0.9463958740234375,-0.6853180654346943,0.006621746790187899,0.02810365,,
624640,5,10,1010,3040,1.0276542719453574,0.2,0.33352094888687134,0.20947265625,0.0003,0.9855576753616333,-0.5734376008622348,-0.0014487884138361551,0.028426526,,
625000,,,,3050,4.987167737446725,0.2,1.223158359527588,0.17470703125,0.0003,0.9534660577774048,-0.6453604137524962,0.0006866214418550954,0.022176439,182.4,25.228745102882385
626688,1,1,1454,,,,,,,,,,,,
628736,2,3,1191,3060,2.9534293895587327,0.2,1.7023327350616455,0.1568359375,0.0003,0.971089243888855,-0.5741855112835765,0.012788655799522531,0.013416529,,
630000,,,,3070,8.378294222056866,0.2,3.6281187534332275,0.1470703125,0.0003,0.9551902413368225,-0.7838638689368963,-0.0029160174875869417,0.015747547,140.4,40.46709050834179
630784,3,5,1064,,,,,,,,,,,,
632832,4,7,1046,3080,5.040669078752399,0.2,0.7182033658027649,0.142431640625,0.0003,0.9591692686080933,-0.6337689187377691,-0.0004381875682156533,0.03942749,,
634880,5,9,1034,3090,1.4155659870244564,0.2,0.9769273400306702,0.13232421875,0.0003,0.970949649810791,-0.5525765112601221,0.0071516600539325735,0.014174172,,
635000,,,,3100,4.550868796929717,0.2,2.6624717712402344,0.0947265625,0.0003,0.9671657085418701,-0.6031055876985192,-0.0015312235482269898,0.013555337,184.2,29.213883139938115
